trial_number,word,ink_color,response,correct,rt_ms
1,red,yellow,yellow,1,1369.1292080038693
2,blue,yellow,yellow,1,1048.7974169955123
3,red,red,red,1,703.5215829964727
4,yellow,green,green,1,1103.908416989725
5,blue,red,red,1,1185.8296249993145
6,blue,green,green,1,1105.3512079815846
7,yellow,green,green,1,906.2777090002783
8,yellow,yellow,yellow,1,1177.914291009074
9,red,red,red,1,1439.7238749952521
10,yellow,yellow,yellow,1,806.6438339883462
11,blue,red,red,1,1826.753750006901
12,blue,blue,blue,1,733.2658340164926
13,yellow,green,green,1,712.9878330160864
14,red,red,red,1,722.4781670083757
15,red,yellow,yellow,1,798.0999579885975
16,yellow,yellow,yellow,1,753.394458006369
17,red,red,red,1,735.9592919819988
18,blue,blue,blue,1,1051.0796660091728
19,green,yellow,yellow,1,987.591208977392
20,green,red,red,1,888.836291996995
